serial,sid,uuid,token,uri,created,completed,changed,in_draft,current_page,remote_addr,uid,langcode,webform_id,entity_type,entity_id,locked,sticky,notes,reversed,compliance_agreement,problems_1a,problems_1a_which,mental_demand_1a,temporal_demand_1a,performance_1a,effort_1a,frustration_1a,distraction_1a,fokus_1a,additional_toughts_1a,problems_1b,problems_1b_which,mental_demand_1b,temporal_demand_1b,performance_1b,effort_1b,frustration_1b,distraction_1b,fokus_1b,parameters_1b,quality_1b,size_1b,additional_toughts_1b,problems_1c,problems_1c_which,mental_demand_1c,temporal_demand_1c,performance_1c,effort_1c,frustration_1c,distraction_1c,fokus_1c,parameters_1c,quality_1c,size_1c,threshold_1c,additional_toughts_1c,problems_1d,problems_1d_which,mental_demand_1d,temporal_demand_1d,performance_1d,effort_1d,frustration_1d,distraction_1d,fokus_1d,additional_toughts_1d,problems_2a,problems_2a_which,mental_demand_2a,temporal_demand_2a,performance_2a,effort_2a,frustration_2a,distraction_2a,fokus_2a,additional_toughts_2a,problems_2b,problems_2b_which,mental_demand_2b,temporal_demand_2b,performance_2b,effort_2b,frustration_2b,distraction_2b,fokus_2b,parameters_2b,quality_2b,size_2b,additional_toughts_2b,problems_2c,problems_2c_which,mental_demand_2c,temporal_demand_2c,performance_2c,effort_2c,frustration_2c,distraction_2c,fokus_2c,parameters_2c,quality_2c,size_2c,threshold_2c,additional_toughts_2c,problems_2d,problems_2d_which,mental_demand_2d,temporal_demand_2d,performance_2d,effort_2d,frustration_2d,distraction_2d,fokus_2d,additional_toughts_2d,problems_3a,problems_3a_which,mental_demand_3a,temporal_demand_3a,performance_3a,effort_3a,frustration_3a,distraction_3a,fokus_3a,additional_toughts_3a,problems_3b,problems_3b_which,mental_demand_3b,temporal_demand_3b,performance_3b,effort_3b,frustration_3b,distraction_3b,fokus_3b,parameters_3b,quality_3b,size_3b,additional_toughts_3b,problems_3c,problems_3c_which,mental_demand_3c,temporal_demand_3c,performance_3c,effort_3c,frustration_3c,distraction_3c,fokus_3c,parameters_3c,quality_3c,size_3c,threshold_3c,additional_toughts_3c,problems_3d,problems_3d_which,mental_demand_3d,temporal_demand_3d,performance_3d,effort_3d,frustration_3d,distraction_3d,fokus_3d,additional_toughts_3d,preference,preference_reason,buy_nps_a,buy_nps_b,buy_nps_c,experience,status,used_apps,field_of_work,frequency,reasons,denoiser,age,gender
5,5,00ecd6c5-cd14-4b91-ad60-f48ee1f13a14,wEUynSguSobMA3iTZIisyRzBWVpWg6U5WBYmFeL_I-A,/,1662653454,1662656433,1662656433,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,3,4,2,1,3,3,3.9,,Yes,,0,3,2,3.6,2," -1"," -0.9",None,,,,Yes,,3.4,3,4,3,3,3,3,None,,,,,,,,,,,,,,,Yes,,2,3,2,2,1.1,4,3,,Yes,,0.5," -1"," -0.5",0," -1"," -1"," -1","Tile Quality ,Tile Size",32,32,,Yes,," -0.7"," -0.7",1,0.6," -1"," -0.8"," -0.7",None,,,,,,,,,,,,,,,Yes,,2.5,2.8,1.7,2,1,1,1.5,,Yes,,2,3,1,2,1," -1",1,None,,,,Yes,,1,2,1,1.5," -0.5"," -0.5"," -0.5",None,,,,,,,,,,,,,,,A,"Because Method B and C have ghosting issues",8,2,6,"1,000-4,999",Student,"Blender,Autodesk Maya,ZBrush,Unreal Engine,Unity 3D","Video Game Development,Animation,Digital Art (single frame rendering)",Occasionally,Realtime,"Open Image Denoise (Intel)",23,Male
6,6,d114023f-f3e1-441e-9d0e-6cbaa1325bc7,C9VQRoBXvSID9G6GNGlBwU7odTZNx6v6UcWXvNEDOfs,/,1662659145,1662661716,1662661716,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,0,1,0,0,0,0," -1",None,,,"Color changes on horse were not displayed realtime. ",Yes,,0,0,0,0,1,1,0,None,,,,,Yes,," -1"," -1",0,0," -1"," -1"," -1","I always find viewport denoising irritating, also in other programs I'm using. ",,,,,,,,,,,Yes,,1,0,0.9,0,0,1,0,"Tile Quality ,Tile Size",128,16,"nicest viewport render so far",Yes,,0,0,0,0,0," -1"," -1",None,,,,"the centered tile interfered with tle large objects I was moving (their border was not rendered yet while I moved)",Yes,,0," -0.5",0," -1",0," -1"," -1","Especially adjusting the roughness is irritating with viewport denoiser. ",,,,,,,,,,,Yes,,1,1,0,0,0,1,1,None,,,,Yes,," -0.5",0,0,0,0," -1"," -1",None,,,,,Yes,,0,0,0,0,0,1,1,"For changing overall light conditions, viewport denoising is not that bad. ",B,"I see all of the edited object as a whole, but the change of the entire scene follows relatively quickly. 

(comment: usually I would use viewport rendering for adjusting light and shaders, but not to move objects around). ",1,4,0,"10,000+",Professional,"Blender,3ds Max,ZBrush,Other modelling/rendering software","Movie Production,Animation,Digital Art (single frame rendering)",Regularly,"Time,Realtime,Final","Open Image Denoise (Intel)",36,Female
7,7,80e518b2-0bdb-4f2e-86a6-7e624c4fdd39,WE1LcV2ekmZx4Z1R56EFJps75bWKsfjoKowmaB1hVqg,/,1663058365,1663061175,1663061175,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,0,0,1,0,1,2.5,0,,Yes,,0,0,0.5,0,0,0.5,0,None,,,,Yes,,0,0,0,0,0,0,0,"Tile Quality ,Tile Size",64,8,,,,,,,,,,,,,Yes,,0,0," -0.2",0," -0.1",0.5," -0.5",,Yes,,0,0," -1",0,0.5,0.5," -0.2","Tile Quality ,Tile Size",64,8,,Yes,," -0.2"," -0.1"," -0.2"," -0.2"," -0.2"," -0.2"," -0.2","Tile Quality ,Tile Size",32,8,,,,,,,,,,,,,Yes,,0.5,0.2,0.5,0,0.2,0.1,0,,Yes,," -0.1"," -0.1"," -1"," -0.1"," -0.5"," -0.2",0,"Tile Quality ,Tile Size",64,16,,Yes,," -0.2"," -0.1"," -0.5",0," -0.1",0,0,,,,,,,,,,,,,,,,A,,0,0,0,"5,000-9,999",Professional,"Blender,Autodesk Maya,3ds Max,ZBrush,Unreal Engine,Unity 3D,Other modelling/rendering software,Other game engines","Architecture Visualization,Video Game Development,Digital Art (single frame rendering)",Occasionally,"Noise,Time,Realtime,Final,Hardware","Optix,Arnold Denoiser",27,Male
8,8,d6fa7bfd-4efc-42a0-acdd-d0e2dace28de,NGZq9I0Oqe_eKyhmTukBHXfMeGyiyMKHGTLsZd4aCbg,/,1663082023,1663084427,1663084427,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,4.5,4.5,2,4.5,5,5,4,,Yes,,4.5,4.5,4.5,4.5,5,4.5,2,None,,,,Yes,,4.5,4.5,4,4.5,5,1,1,"Tile Quality ,Tile Size",256,32,,,,,,,,,,,,,Yes,,4,4.5,4,4.5,5,2,2,,Yes,,4.5,4.5,4.5,4.5,5,2,2,,,,,Yes,,4.5,4.5,4.5,4.5,5,2,2,Threshold,,,1-100,,,,,,,,,,,,Yes,,4,4,4.5,4,5,2,2,,Yes,,4,4,4.5,4.5,5,2,2,None,,,,Yes,,4,3,4,4,5,2,2,"Tile Quality ,Tile Size",16,32,,,,,,,,,,,,,B,,5,10,7,"5,000-9,999",Professional,"Blender,Autodesk Maya,ZBrush,Unreal Engine,Unity 3D,Other modelling/rendering software","Video Game Development,Movie Production,Animation,Digital Art (single frame rendering)",Regularly,"Noise,Time,Realtime,Software","Optix,Open Image Denoise (Intel)",35,"Non binary"
9,9,17c918e9-04ae-4c22-baba-c90ab8f9775c,Y_jBQEns3_h63rwnJ-Tpb5cWjUMgIN2M9QNaSGVH6RU,/,1663240272,1663243041,1663251337,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,0,0,1,0,0,1,1,,Yes,,0,0,0,0,0," -0.5",0,None,,,,Yes,,0.5,0,0,1,0,2,0,None,,,,,,,,,,,,,,,Yes,,0,0,0,1,0,1.5,0,,Yes,,0," -0.5",0.5,0,0,0,0,None,,,,Yes,,0," -0.2",0,0,0,0,0,"Tile Quality ",16,,,,,,,,,,,,,,Yes,,1,0,0,0," -0.1",0,0,,Yes,,0,0,0,0," -0.5",0,0,None,,,,Yes,,0,0,0,0," -1"," -0.3",0,None,,,,,,,,,,,,,,,C,,7,3,6,"1,000-4,999",Student,"Blender,3ds Max,ZBrush,Unreal Engine,Unity 3D,Other game engines","Video Game Development,Digital Art (single frame rendering)",Occasionally,"Noise,Time",none,24,Male
10,10,09bafa62-2cfb-4194-8ae5-04ee67d2b476,H-OSLoqjcFV8Rk_5qd0ZM4u7siWHcGQALa2F4L-oZkU,/,1663243936,1663248785,1663248785,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,0," -0.5",1,4,0," -0.5",1,"Tile Quality ",32,,,Yes,,0," -0.7",2,4,0," -1"," -0.5",Threshold,,,101-200,,Yes,,0," -1"," -0.3"," -1",0," -1"," -1",,,,,,,,,,,,Yes,," -0.6",1,2,1,0,0,0,"Tile Quality ,Tile Size",32,16,,Yes,,0.8,0.8,2,0.6,0," -0.5",0,"Tile Quality ,Tile Size,Threshold",64,16,101-200,,Yes,," -0.5"," -0.7",0,1," -0.6"," -0.5"," -0.5",,,,,,,,,,,,Yes,,0,1.7,3,4,0," -0.9",0,"Tile Quality ,Tile Size",16,16,,Yes,,0,0.9,0.5,2,0,0.9,0,"Tile Quality ,Tile Size,Threshold",32,16,101-200,,Yes,,0,1,2," -0.6",0,0.5," -1",,B,,3,7,6,100-499,Student,"Blender,Autodesk Maya,3ds Max,Unreal Engine,Unity 3D","Video Game Development",Never,Software,"I'm not rendering with path tracing/other noise producing methods",24,Male
11,11,0c39ab3c-54ce-4408-a3c5-edf7cb5c22cb,PXQa6NShTqTiocG1tg6zo08FzjFsxJsH-dzURzh-c6g,/,1663662608,1663667679,1663667679,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,3.5,4,4,3,4,4.5,4.5,None,,,,Yes,,3.5,4,3,4.5,4.5,3,3.5,"Tile Quality ,Tile Size,Threshold",128,16,101-200,,Yes,,2,3,3,3.5,4.5,2.3,2,,,,,,,,,,,,Yes,,3.5,2.5,3,2.5,2.9,3.5,3.5,"Tile Quality ,Tile Size",16,16,,Yes,,3.9,3.5,3.6,4,3.3,3,3,"Tile Quality ,Tile Size,Threshold",16,16,101-200,,Yes,,4,3.7,4.5,4.5,4,3.2,3.3,,,,,,,,,,,,Yes,,3.5,2.5,3,4,3.8,2.6,2.9,"Tile Size",,16,,Yes,,2.5,2.8,2.5,4,3,2.5,2.6,Threshold,,,1-100,,Yes,,4.5,4.5,4.6,4.5,4.5,4.5,4,,A,"Aber B finde ich auch toll, habe es schon erzählt. ",8,2,1,"1,000-4,999",Student,"Blender,Autodesk Maya,3ds Max,Unity 3D","Video Game Development,Digital Art (single frame rendering)",Occasionally,"Time,Final,Software",none,26,Female
12,12,2680370d-3c67-442e-ad7e-32ac02447783,7OcXbxmKc6E11wF0wIAH6m4X-m2Lymp-dTUGZeVpcqA,/,1663687018,1663691078,1663691078,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,4,4,5,3,5,4.5,4.5,,Yes,,4,3.5,4.5,4.5,4.5,4,4,None,,,,Yes,,5,5,4.5,5,5,4.5,5,None,,,,,,,,,,,,,,,Yes,,4,4,4.5,4,3.5,4.5,4.5,,Yes,,4,4,4,4,4.5,3.5,3.5,"Tile Quality ,Tile Size",256,32,,Yes,,5,5,5,5,5,5,5,"Tile Quality ,Tile Size,Threshold",64,16,101-200,,,,,,,,,,,,Yes,,4.5,5,4.5,5,5,5,5,,Yes,,4,4,4,4.7,5,4.5,4.5,None,,,,Yes,,5,5,5,5,5,5,5,None,,,,,,,,,,,,,,,C,,0,0,8,"10,000+",Professional,"Unreal Engine","Architecture Visualization,Video Game Development,Automotive Design,Movie Production,Animation",Regularly,Time,Optix,36,Male
13,13,a7e332e4-9590-4398-a2d2-a6927e09af0e,OxnJpA_TP4cfNskRdGLwf9QXVSPltuGG5LYSWLMipwo,/,1663694053,1663697480,1663697480,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,1,1,,,,,,,,,,,Yes,,0,1,0,0,0,1.5,0,None,,,,Yes,,1,0.5,1,0,1.5,2," -0.5",None,,,,,Yes,," -0.3"," -0.2",0," -0.2",0," -0.5"," -0.5",,,,,,,,,,,,Yes,," -0.5"," -0.9",0," -0.5"," -0.2"," -0.3",0,"Tile Quality ,Tile Size",16,16,"optimal tile quality depends on task
i see no difference with the tile size",Yes,,0," -0.2",0,0,0,0,0,"Tile Quality ",16,,,"Tile Quality deopends on task
task was easier because I remembered tile quality from last task",Yes,,0,0.2,0.5,0.5,0.3," -0.2"," -0.5","Without tile size it's easier to do the task",,,,,,,,,,,Yes,," -0.5",0," -0.3",0.5," -0.5",1,1,None,,,,Yes,,1," -0.5",0," -0.3",0," -0.3"," -0.3",None,,,,,Yes,," -0.5"," -0.4",1,0," -0.3"," -0.3"," -0.2","Distrtacting artifacts",C,,2,7,8,100-499,Professional,"Unity 3D,Other modelling/rendering software","Architecture Visualization,Video Game Development",Never,"Time,Software","I'm not rendering with path tracing/other noise producing methods",26,Male
14,14,e1c39350-f6cd-4f1c-81cd-96cb5952f821,Q2iVw8wd0oinE6nGOFqcBZ2sT7uvi3KQaXwqLwzMlmY,/,1663849353,1663851659,1663851659,0,webform_confirmation,,,en,irsurvey_webform,node,d031e888-1d4d-4d27-90eb-2da066526fac,0,0,,0,1,Yes,,0,0,0,0,0,0,0,"Controls are more complex and distracting than the render method",Yes,,2,2,1.7,2,2,2,2,None,,,,Yes,,2.7,2.8,1,1,1.5,3,3,,,,,,,,,,,,,,,,Yes,,1,0.6,1,0.8,0.9,2.1,1.8,,Yes,,2,2,1,2,1.6,1.8,1.8,,,,,Yes,,1,1.1,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,Yes,,1.5,1.5,1.2,1.2,1.2,1.6,1.8,,Yes,,2.1,2.1,2.1,2,2,2,3,,,,,Yes,,1.7,1.3,1.6,1.9,1.9,2,2,,,,,,,,,,,,,,,,C,"feels fluent",2,2,5,"1,000-4,999",Professional,"Blender,Other modelling/rendering software","Architecture Visualization,Movie Production,Digital Art (single frame rendering)",Regularly,"Time,Software","Optix,Nvidia Real-Time Denoisers (NRD)",51,Male
